X,Y,REAL,PRED
0.057365,0.081452,0,0
0.072145,0.100240,0,0
0.079083,0.154770,0,0
0.105670,0.142010,0,0
0.175750,0.130950,0,0
0.116190,0.117450,0,0
0.164340,0.131500,0,0
0.129830,0.146370,0,0
0.138940,0.140180,0,0
0.147190,0.123830,0,0
0.156530,0.121250,0,0
0.176600,0.136580,0,0
0.164360,0.155370,0,0
0.138760,0.171030,0,0
0.176460,0.167500,0,0
0.146510,0.166770,0,0
0.200740,0.148460,0,0
0.156410,0.180190,0,0
0.135460,0.170530,0,0
0.182870,0.210660,0,0
0.726840,0.690420,0,0
0.703980,0.449990,0,0
0.703920,0.543400,0,0
0.615070,0.591850,0,0
0.506230,0.456970,0,0
0.497740,0.496470,0,0
0.489000,0.502990,0,0
0.579370,0.587880,0,0
0.534520,0.607100,0,0
0.408530,0.516140,0,0
0.414750,0.431440,0,0
0.444340,0.489870,0,0
0.460790,0.533340,0,0
0.462410,0.605280,0,0
0.495500,0.553930,0,0
0.559550,0.575500,0,0
0.500040,0.518820,0,0
0.490620,0.496520,0,0
0.512640,0.523580,0,0
0.441040,0.480930,0,0
0.583620,0.584740,0,0
0.482970,0.533200,0,0
0.550550,0.588150,0,0
0.556240,0.601470,0,0
0.517090,0.600300,0,0
0.079666,0.072280,0,0
0.094058,0.073567,0,0
0.095489,0.068500,0,0
0.080790,0.064853,0,0
0.072414,0.059245,0,0
0.417540,0.525120,0,0
0.497380,0.382470,0,0
0.359150,0.432780,0,0
0.437210,0.477670,0,0
0.547920,0.501110,0,0
0.031491,0.031910,0,0
0.045535,0.070309,0,2
0.036314,0.059478,0,0
0.070804,0.066889,0,0
0.063561,0.072260,5,0
0.091900,3.686600,2,1
0.872000,2.170800,4,2
0.808300,2.151300,2,2
0.056400,1.975000,2,1
0.045300,1.912500,1,1
0.053300,0.203820,0,0
0.369990,0.476590,1,0
0.140000,0.124370,0,0
0.287990,-0.015301,0,0
0.073963,0.042943,0,0
0.146480,0.146480,0,0
0.146480,0.146480,0,0
0.146480,0.097656,0,0
0.146480,0.170900,0,0
0.146480,0.097656,0,0
0.050821,0.058882,0,0
0.052732,0.051230,0,0
0.050979,0.084037,0,2
0.102030,0.082308,0,0

Accuracy 91.14%
